



===================Episode-1===========================



0.00 [episode=1],2.1,2.15,2.13,2.14,2.19
0.00 [episode=1],2.1,2.15,2.13,2.14,1.34
0.00 [episode=1],0.91,2.15,2.13,2.14,1.34
0.00 [episode=1],0.91,2.15,0.99,2.14,1.34
0.00 [episode=1],0.91,2.15,0.65,2.14,1.34
0.00 [episode=1],0.91,1.89,0.65,2.14,1.34
0.00 [episode=1],0.91,1.89,0.33,2.14,1.34
0.00 [episode=1],0.91,1.89,0.33,1.34,1.34
0.00 [episode=1],0.91,1.44,0.33,1.34,1.34
0.00 [episode=1],0.91,0.83,0.33,1.34,1.34
0.00 [episode=1],0.91,0.83,0.06,1.34,1.34
0.12 [episode=1],0.91,1.09,0.06,1.34,1.34
0.24 [episode=1],0.91,1.54,0.06,1.34,1.34
0.34 [episode=1],0.91,1.54,0.4,1.34,1.34
0.37 [episode=1],0.91,1.54,0.4,2.14,1.34
0.39 [episode=1],0.91,1.54,0.4,2.14,2.19
0.42 [episode=1],0.91,2.15,0.4,2.14,2.19
0.49 [episode=1],0.91,2.15,0.72,2.14,2.19
0.54 [episode=1],0.91,2.15,1.86,2.14,2.19
0.57 [episode=1],2.1,2.15,1.86,2.14,2.19
0.82 [episode=1],2.1,2.15,2.13,2.14,2.19
